"Country","Year","All Causes","Communicable & other Group I","Noncommunicable diseases","Injuries"
"Gambia","2000","77325","41769","29424","6132"
"Georgia","2012","29323","4260","22553","2509"
"Georgia","2000","33696","6038","24798","2859"
"Germany","2012","19224","1129","16280","1814"
"Germany","2000","22368","1220","18806","2342"
"Ghana","2012","58375","27278","26829","4268"
"Ghana","2000","71507","41076","26341","4090"
"Greece","2012","19627","1121","16364","2143"
"Greece","2000","22112","1428","18093","2591"
"Guatemala","2012","37079","10821","19795","6463"
"Guatemala","2000","45470","15752","21821","7898"
"Guinea","2012","72518","38941","28033","5544"
"Guinea","2000","99628","63188","29802","6638"
"Guinea-Bissau","2012","83441","48396","28967","6078"
"Guinea-Bissau","2000","93520","58564","28716","6240"
"Guyana","2012","55470","10593","36078","8798"
"Guyana","2000","51259","12705","30962","7591"
"Haiti","2012","61717","25114","28198","8405"
"Haiti","2000","77547","41590","30149","5807"
"Honduras","2012","33106","7618","20931","4557"
"Honduras","2000","39090","12598","21929","4563"
"Hungary","2012","28707","1629","24271","2807"
"Hungary","2000","34543","2155","28533","3855"
"Iceland","2012","17257","767","14417","2073"
"Iceland","2000","19812","1072","15891","2849"
"India","2012","47950","15840","26503","5607"
"India","2000","60447","24726","29039","6682"
"Indonesia","2012","36015","9550","23650","2814"
"Indonesia","2000","45080","15211","26357","3512"
"Iran (Islamic Republic of)","2012","30911","4440","22144","4327"
"Iran (Islamic Republic of)","2000","38976","6701","26493","5782"
"Iraq","2012","38798","6929","25058","6812"
"Iraq","2000","37596","8906","23759","4931"
"Ireland","2012","19319","1010","15944","2365"
"Ireland","2000","24183","1695","19764","2723"
"Israel","2012","17719","1217","14797","1706"
"Israel","2000","21702","1474","17868","2360"
"Italy","2012","16957","1015","14256","1687"
"Italy","2000","20294","1280","16778","2235"
"Jamaica","2012","32646","7125","21085","4436"
"Jamaica","2000","37292","11561","22043","3688"
"Japan","2012","15700","1219","12158","2323"
"Japan","2000","17450","1470","13644","2336"
"Jordan","2012","30626","4165","23317","3144"
"Jordan","2000","34738","5634","25365","3738"
"Kazakhstan","2012","42084","4666","31442","5976"
"Kazakhstan","2000","54320","9164","36129","9028"
"Kenya","2012","62578","34731","22461","5386"
"Kenya","2000","90442","62033","22781","5627"
"Kuwait","2012","22687","3215","17433","2039"
"Kuwait","2000","27964","3127","22068","2768"
"Kyrgyzstan","2012","39969","6242","29474","4252"
"Kyrgyzstan","2000","47692","10405","32358","4929"
"Lao People's Democratic Republic","2012","49556","19510","25673","4373"
"Lao People's Democratic Republic","2000","65716","28646","30741","6330"
"Latvia","2012","29932","2657","23964","3311"
"Latvia","2000","37190","3503","27007","6679"
"Lebanon","2012","20828","2685","16000","2142"
"Lebanon","2000","28985","3989","21604","3391"
"Lesotho","2012","99421","64355","26920","8147"
"Lesotho","2000","106381","71288","27561","7532"
"Liberia","2012","62373","31939","26045","4388"
"Liberia","2000","100675","63650","30892","6133"
"Libya","2012","28906","3479","22032","3394"
"Libya","2000","35341","5249","26401","3691"
"Lithuania","2012","30215","2248","23603","4363"
"Lithuania","2000","33906","2568","24675","6663"
"Luxembourg","2012","18648","905","15670","2073"
"Luxembourg","2000","22677","1102","18528","3047"
"Madagascar","2012","54971","24108","25995","4868"
"Madagascar","2000","72916","37353","30008","5555"
"Malawi","2012","70678","41634","24552","4492"
"Malawi","2000","123525","93801","25301","4423"
"Malaysia","2012","29765","5432","21203","3129"
"Malaysia","2000","34316","6124","24434","3758"
"Maldives","2012","25036","3776","19358","1902"
"Maldives","2000","43610","10334","29110","4167"
"Mali","2012","75910","37702","31964","6244"
"Mali","2000","108153","65429","35774","6951"
"Malta","2012","19507","1241","16572","1695"
"Malta","2000","22028","1691","18415","1922"
"Mauritania","2012","58285","30734","23242","4308"
"Mauritania","2000","66860","37573","24510","4777"
"Mauritius","2012","30076","3656","23638","2782"
"Mauritius","2000","33835","3457","27494","2884"
"Mexico","2012","26763","3556","19524","3683"
"Mexico","2000","29436","5176","20804","3456"
"Mongolia","2012","42935","5989","32462","4484"
"Mongolia","2000","55523","11748","38149","5626"
"Montenegro","2012","26702","1855","21948","2898"
"Montenegro","2000","29832","2629","24231","2972"
"Morocco","2012","38061","8260","26649","3153"
"Morocco","2000","43710","11775","28477","3458"
"Mozambique","2012","88491","54637","25425","8430"
"Mozambique","2000","108720","69400","29223","10097"
"Myanmar","2012","48793","16796","26568","5429"
"Myanmar","2000","58153","25767","26578","5808"
"Namibia","2012","48404","21350","22726","4328"
"Namibia","2000","74137","43117","25984","5036"
"Nepal","2012","43324","13914","24800","4610"
"Nepal","2000","59688","23876","29227","6585"
"Netherlands","2012","18770","1134","15928","1708"
"Netherlands","2000","21969","1427","18573","1969"
"New Zealand","2012","18742","1157","15164","2420"
"New Zealand","2000","22104","1150","18058","2897"
"Nicaragua","2012","33239","5741","23849","3649"
"Nicaragua","2000","34756","8561","22245","3950"
"Niger","2012","70093","38549","26353","5191"
"Niger","2000","98342","65346","27481","5515"
"Nigeria","2012","84764","48537","28039","8189"
"Nigeria","2000","111480","72681","30224","8575"
"Norway","2012","19615","989","16793","1832"
"Norway","2000","23043","1151","19353","2539"
"Oman","2012","27260","4469","19720","3071"
"Oman","2000","33541","6151","24060","3330"
"Pakistan","2012","50534","19351","25694","5490"
"Pakistan","2000","57667","26978","25126","5564"
"Panama","2012","27476","5461","17999","4015"
"Panama","2000","29039","6423","19527","3089"
"Papua New Guinea","2012","59322","24953","29041","5328"
"Papua New Guinea","2000","70304","32991","30468","6845"
"Paraguay","2012","30862","5478","21444","3940"
"Paraguay","2000","32606","7357","21899","3350"
"Peru","2012","26911","5933","18143","2834"
"Peru","2000","35748","11237","21112","3400"
"Philippines","2012","41446","10384","27699","3363"
"Philippines","2000","41372","13047","24547","3779"
"Poland","2012","25415","1786","20360","3269"
"Poland","2000","29711","2212","23590","3909"
